Test_for_H8_element_40*4*4mesh
1025 1 1 1
1 1 0 0 0 0 1
2 0 0 0 0.25 0 1
3 0 0 0 0.5 0 1
4 0 0 0 0.75 0 1
5 0 0 0 1 0 1
6 0 0 0 1.25 0 1
7 0 0 0 1.5 0 1
8 0 0 0 1.75 0 1
9 0 0 0 2 0 1
10 0 0 0 2.25 0 1
11 0 0 0 2.5 0 1
12 0 0 0 2.75 0 1
13 0 0 0 3 0 1
14 0 0 0 3.25 0 1
15 0 0 0 3.5 0 1
16 0 0 0 3.75 0 1
17 0 0 0 4 0 1
18 0 0 0 4.25 0 1
19 0 0 0 4.5 0 1
20 0 0 0 4.75 0 1
21 0 0 0 5 0 1
22 0 0 0 5.25 0 1
23 0 0 0 5.5 0 1
24 0 0 0 5.75 0 1
25 0 0 0 6 0 1
26 0 0 0 6.25 0 1
27 0 0 0 6.5 0 1
28 0 0 0 6.75 0 1
29 0 0 0 7 0 1
30 0 0 0 7.25 0 1
31 0 0 0 7.5 0 1
32 0 0 0 7.75 0 1
33 0 0 0 8 0 1
34 0 0 0 8.25 0 1
35 0 0 0 8.5 0 1
36 0 0 0 8.75 0 1
37 0 0 0 9 0 1
38 0 0 0 9.25 0 1
39 0 0 0 9.5 0 1
40 0 0 0 9.75 0 1
41 0 0 0 10 0 1
42 1 0 0 0 0.25 1
43 0 0 0 0.25 0.25 1
44 0 0 0 0.5 0.25 1
45 0 0 0 0.75 0.25 1
46 0 0 0 1 0.25 1
47 0 0 0 1.25 0.25 1
48 0 0 0 1.5 0.25 1
49 0 0 0 1.75 0.25 1
50 0 0 0 2 0.25 1
51 0 0 0 2.25 0.25 1
52 0 0 0 2.5 0.25 1
53 0 0 0 2.75 0.25 1
54 0 0 0 3 0.25 1
55 0 0 0 3.25 0.25 1
56 0 0 0 3.5 0.25 1
57 0 0 0 3.75 0.25 1
58 0 0 0 4 0.25 1
59 0 0 0 4.25 0.25 1
60 0 0 0 4.5 0.25 1
61 0 0 0 4.75 0.25 1
62 0 0 0 5 0.25 1
63 0 0 0 5.25 0.25 1
64 0 0 0 5.5 0.25 1
65 0 0 0 5.75 0.25 1
66 0 0 0 6 0.25 1
67 0 0 0 6.25 0.25 1
68 0 0 0 6.5 0.25 1
69 0 0 0 6.75 0.25 1
70 0 0 0 7 0.25 1
71 0 0 0 7.25 0.25 1
72 0 0 0 7.5 0.25 1
73 0 0 0 7.75 0.25 1
74 0 0 0 8 0.25 1
75 0 0 0 8.25 0.25 1
76 0 0 0 8.5 0.25 1
77 0 0 0 8.75 0.25 1
78 0 0 0 9 0.25 1
79 0 0 0 9.25 0.25 1
80 0 0 0 9.5 0.25 1
81 0 0 0 9.75 0.25 1
82 0 0 0 10 0.25 1
83 1 0 0 0 0.5 1
84 0 0 0 0.25 0.5 1
85 0 0 0 0.5 0.5 1
86 0 0 0 0.75 0.5 1
87 0 0 0 1 0.5 1
88 0 0 0 1.25 0.5 1
89 0 0 0 1.5 0.5 1
90 0 0 0 1.75 0.5 1
91 0 0 0 2 0.5 1
92 0 0 0 2.25 0.5 1
93 0 0 0 2.5 0.5 1
94 0 0 0 2.75 0.5 1
95 0 0 0 3 0.5 1
96 0 0 0 3.25 0.5 1
97 0 0 0 3.5 0.5 1
98 0 0 0 3.75 0.5 1
99 0 0 0 4 0.5 1
100 0 0 0 4.25 0.5 1
101 0 0 0 4.5 0.5 1
102 0 0 0 4.75 0.5 1
103 0 0 0 5 0.5 1
104 0 0 0 5.25 0.5 1
105 0 0 0 5.5 0.5 1
106 0 0 0 5.75 0.5 1
107 0 0 0 6 0.5 1
108 0 0 0 6.25 0.5 1
109 0 0 0 6.5 0.5 1
110 0 0 0 6.75 0.5 1
111 0 0 0 7 0.5 1
112 0 0 0 7.25 0.5 1
113 0 0 0 7.5 0.5 1
114 0 0 0 7.75 0.5 1
115 0 0 0 8 0.5 1
116 0 0 0 8.25 0.5 1
